No. movimiento,Fecha,Tipo,Motivo
1,2026-05-06,Entrada,
2,2026-05-07,Entrada,
3,2026-05-07,Ajuste,Se esgta acabando
4,2026-05-07,Entrada,
5,2026-05-07,Entrada,
6,2026-05-07,Entrada,
7,2026-05-07,Entrada,
8,2026-05-07,Salida,ES UNA SALIDA
9,2026-05-07,Entrada,
10,2026-05-07,Salida,salida 3
11,2026-05-08,Entrada,
12,2026-05-12,Entrada,
13,2026-05-12,Ajuste,asd
14,2026-05-12,Entrada,
15,2026-05-12,Ajuste,obligatorio
16,2026-05-12,Ajuste,nuevo obligacion
17,2026-05-13,Entrada,
18,2026-05-13,Ajuste,Prueba
19,2026-05-19,Salida,
20,2026-05-20,Entrada,
21,2026-05-20,Salida,
22,2026-05-20,Salida,
23,2026-05-22,Salida,
